TBLASTN 2.2.29+


Reference: Stephen F. Altschul, Thomas L. Madden, Alejandro A.
Schaffer, Jinghui Zhang, Zheng Zhang, Webb Miller, and David J.
Lipman (1997), "Gapped BLAST and PSI-BLAST: a new generation of
protein database search programs", Nucleic Acids Res. 25:3389-3402.



Database: Cnidarians
           59,203 sequences; 3,418,506,885 total letters



Query= AAB47805.1 ankyrin [Homo sapiens]

Length=1856
                                                                      Score     E
  dspp_scaffold_134                                                     105   3e-20 
  scaffold_69                                                           105   3e-20 
  LJWW01000113.1 Exaiptasia pallida isolate CC7 scaffold113, whol...    104   5e-20 
  NW_018149603.1 Orbicella faveolata isolate FL unplaced genomic ...  69.3    6e-20 
  NW_018149007.1 Orbicella faveolata isolate FL unplaced genomic ...    104   7e-20 
  afen_scaffold_6                                                       104   7e-20 
  LJWW01003298.1 Exaiptasia pallida isolate CC7 scaffold3865, who...    100   8e-20 
  dspp_scaffold_60                                                      103   8e-20 
  NW_018150064.1 Orbicella faveolata isolate FL unplaced genomic ...    103   1e-19 
  adi_Scaffold19                                                        103   1e-19 
  scaffold_176                                                          102   2e-19 
  NW_004167220.1 Hydra vulgaris strain 105 unplaced genomic scaff...    102   2e-19 
  scaffold_14                                                           102   2e-19 
  LJWW01000858.1 Exaiptasia pallida isolate CC7 scaffold859, whol...    100   9e-19 
  SczhEnG_1725                                                          100   1e-18 
  adi_Scaffold956                                                     99.8    2e-18 
  LJWW01000279.1 Exaiptasia pallida isolate CC7 scaffold280, whol...  99.8    2e-18 
  NW_018149991.1 Orbicella faveolata isolate FL unplaced genomic ...  99.4    2e-18 
  dspp_scaffold_113                                                   99.0    3e-18 
  SczhEnG_549                                                         99.0    3e-18 
  NW_018148670.1 Orbicella faveolata isolate FL unplaced genomic ...  98.6    4e-18 
  dspp_scaffold_526                                                   98.2    5e-18 
  NW_004168576.1 Hydra vulgaris strain 105 unplaced genomic scaff...  73.9    6e-18 
  SczhEnG_2887                                                        97.8    7e-18 
  LJWW01000641.1 Exaiptasia pallida isolate CC7 scaffold642, whol...  97.1    1e-17 
  NW_018148940.1 Orbicella faveolata isolate FL unplaced genomic ...  96.7    1e-17 
  SczhEnG_3861                                                        96.7    2e-17 
  scaffold_1316                                                       96.3    2e-17 
  adi_Scaffold456                                                     96.3    2e-17 
  NW_018150285.1 Orbicella faveolata isolate FL unplaced genomic ...  95.9    3e-17 
  adi_Scaffold81                                                      95.5    3e-17 
  dspp_scaffold_132                                                   95.5    3e-17 
  SczhEnG_2745                                                        71.6    4e-17 
  SczhEnG_1188                                                        95.5    4e-17 
  NW_018149744.1 Orbicella faveolata isolate FL unplaced genomic ...  95.1    4e-17 
  adi_Scaffold691                                                     95.1    5e-17 
  afen_scaffold_102                                                   94.7    5e-17 
  dspp_scaffold_56                                                    94.7    6e-17 
  dspp_scaffold_53                                                    94.4    6e-17 
  SczhEnG_386                                                         94.4    7e-17 
  adi_Scaffold3                                                       94.4    8e-17 
  adi_Scaffold1408                                                    94.0    8e-17 
  adi_Scaffold692                                                     94.0    9e-17 
  NW_004172618.1 Hydra vulgaris strain 105 unplaced genomic scaff...  94.0    1e-16 
  NW_018149255.1 Orbicella faveolata isolate FL unplaced genomic ...  94.0    1e-16 
  NW_004169903.1 Hydra vulgaris strain 105 unplaced genomic scaff...  82.0    1e-16 
  adi_Scaffold3662                                                    93.6    1e-16 
  SczhEnG_2013                                                        93.6    1e-16 
  scaffold_37                                                         92.0    3e-16 
  afen_scaffold_134                                                   91.7    4e-16 
  scaffold_595                                                        91.3    7e-16 
  dspp_scaffold_27                                                    91.3    7e-16 
  dspp_scaffold_5                                                     90.1    1e-15 
  adi_Scaffold26                                                      90.1    1e-15 
  NW_018148672.1 Orbicella faveolata isolate FL unplaced genomic ...  89.0    3e-15 
  NW_018149716.1 Orbicella faveolata isolate FL unplaced genomic ...  88.6    4e-15 
  dspp_scaffold_1338                                                  88.2    4e-15 
  LJWW01004278.1 Exaiptasia pallida isolate CC7 scaffold5036, who...  84.7    5e-15 
  NW_018148668.1 Orbicella faveolata isolate FL unplaced genomic ...  87.8    7e-15 
  adi_Scaffold303                                                     87.8    7e-15 
  afen_scaffold_135                                                   87.8    8e-15 
  NW_018148537.1 Orbicella faveolata isolate FL unplaced genomic ...  87.0    1e-14 
  afen_scaffold_265                                                   87.0    1e-14 
  adi_Scaffold621                                                     86.7    2e-14 
  adi_Scaffold333                                                     86.3    2e-14 
  NW_004166876.1 Hydra vulgaris strain 105 unplaced genomic scaff...  86.3    2e-14 
  NW_004168724.1 Hydra vulgaris strain 105 unplaced genomic scaff...  57.0    2e-14 
  dspp_scaffold_59                                                    86.3    2e-14 
  LJWW01000576.1 Exaiptasia pallida isolate CC7 scaffold577, whol...  85.9    2e-14 
  dspp_scaffold_1                                                     85.9    3e-14 
  NW_018148943.1 Orbicella faveolata isolate FL unplaced genomic ...  85.5    3e-14 
  NW_004167632.1 Hydra vulgaris strain 105 unplaced genomic scaff...  85.5    3e-14 
  LJWW01000434.1 Exaiptasia pallida isolate CC7 scaffold435, whol...  85.1    4e-14 
  LJWW01000460.1 Exaiptasia pallida isolate CC7 scaffold461, whol...  84.7    7e-14 
  adi_Scaffold100                                                     84.3    8e-14 
  SczhEnG_828                                                         84.0    9e-14 
  LJWW01000569.1 Exaiptasia pallida isolate CC7 scaffold570, whol...  84.0    9e-14 
  afen_scaffold_82                                                    84.0    9e-14 
  adi_Scaffold365                                                     84.0    1e-13 
  NW_018150196.1 Orbicella faveolata isolate FL unplaced genomic ...  83.6    1e-13 
  scaffold_26                                                         83.6    2e-13 
  NW_004166930.1 Hydra vulgaris strain 105 unplaced genomic scaff...  60.5    2e-13 
  NW_018149177.1 Orbicella faveolata isolate FL unplaced genomic ...  83.2    2e-13 
  NW_004166878.1 Hydra vulgaris strain 105 unplaced genomic scaff...  82.4    3e-13 
  afen_scaffold_110                                                   82.4    3e-13 
  adi_Scaffold213                                                     82.4    3e-13 
  SczhEnG_655                                                         81.3    6e-13 
  dspp_scaffold_18                                                    80.9    8e-13 
  dspp_scaffold_586                                                   80.5    1e-12 
  scaffold_44                                                         80.5    1e-12 
  afen_scaffold_52                                                    80.1    1e-12 
  NW_004171782.1 Hydra vulgaris strain 105 unplaced genomic scaff...  50.4    2e-12 
  NW_004166917.1 Hydra vulgaris strain 105 unplaced genomic scaff...  79.7    2e-12 
  afen_scaffold_428                                                   79.7    2e-12 
  afen_scaffold_8                                                     79.3    2e-12 
  NW_018149184.1 Orbicella faveolata isolate FL unplaced genomic ...  79.3    3e-12 
  NW_018148695.1 Orbicella faveolata isolate FL unplaced genomic ...  79.0    3e-12 
  SczhEnG_292                                                         76.3    4e-12 
  SczhEnG_2007                                                        78.6    4e-12 
  NW_018148726.1 Orbicella faveolata isolate FL unplaced genomic ...  78.6    4e-12 
  LJWW01000008.1 Exaiptasia pallida isolate CC7 scaffold8, whole ...  78.6    5e-12 
  afen_scaffold_2                                                     78.2    5e-12 
  SczhEnG_125                                                         78.2    5e-12 
  afen_scaffold_2170                                                  78.2    5e-12 
  NW_018149253.1 Orbicella faveolata isolate FL unplaced genomic ...  78.2    6e-12 
  adi_Scaffold1627                                                    77.8    7e-12 
  afen_scaffold_71                                                    77.8    7e-12 
  dspp_scaffold_23                                                    77.4    1e-11 
  NW_018149371.1 Orbicella faveolata isolate FL unplaced genomic ...  76.3    2e-11 
  scaffold_187                                                        76.3    2e-11 
  scaffold_218                                                        75.9    3e-11 
  LJWW01000043.1 Exaiptasia pallida isolate CC7 scaffold43, whole...  75.9    3e-11 
  NW_018149912.1 Orbicella faveolata isolate FL unplaced genomic ...  75.5    3e-11 
  adi_Scaffold475                                                     75.1    4e-11 
  SczhEnG_1221                                                        75.1    4e-11 
  afen_scaffold_1374                                                  75.1    4e-11 
  scaffold_76                                                         75.1    5e-11 
  adi_Scaffold4315                                                    74.3    6e-11 
  afen_scaffold_106                                                   74.7    7e-11 
  NW_018150136.1 Orbicella faveolata isolate FL unplaced genomic ...  74.3    8e-11 
  scaffold_471                                                        74.3    9e-11 
  NW_018149026.1 Orbicella faveolata isolate FL unplaced genomic ...  74.3    9e-11 
  scaffold_585                                                        73.9    1e-10 
  NW_018148946.1 Orbicella faveolata isolate FL unplaced genomic ...  73.6    1e-10 
  LJWW01000078.1 Exaiptasia pallida isolate CC7 scaffold78, whole...  73.2    2e-10 
  SczhEnG_3701                                                        73.2    2e-10 
  dspp_scaffold_30                                                    73.2    2e-10 
  scaffold_131                                                        73.2    2e-10 
  SczhEnG_1415                                                        73.2    2e-10 
  afen_scaffold_133                                                   73.2    2e-10 
  adi_Scaffold117                                                     72.8    2e-10 
  scaffold_10                                                         72.8    2e-10 
  afen_scaffold_278                                                   72.8    2e-10 
  scaffold_68                                                         72.8    3e-10 
  dspp_scaffold_41                                                    72.8    3e-10 
  LJWW01000013.1 Exaiptasia pallida isolate CC7 scaffold13, whole...  72.4    3e-10 
  scaffold_214                                                        72.4    3e-10 
  NW_018150154.1 Orbicella faveolata isolate FL unplaced genomic ...  72.4    4e-10 
  LJWW01000307.1 Exaiptasia pallida isolate CC7 scaffold308, whol...  72.0    4e-10 
  dspp_scaffold_81                                                    72.0    4e-10 
  NW_018149314.1 Orbicella faveolata isolate FL unplaced genomic ...  72.0    4e-10 
  SczhEnG_1998                                                        72.0    4e-10 
  adi_Scaffold281                                                     72.0    5e-10 
  NW_004170172.1 Hydra vulgaris strain 105 unplaced genomic scaff...  72.0    5e-10 
  NW_004169987.1 Hydra vulgaris strain 105 unplaced genomic scaff...  55.1    5e-10 
  NW_018149848.1 Orbicella faveolata isolate FL unplaced genomic ...  71.6    5e-10 
  SczhEnG_1121                                                        71.6    6e-10 
  afen_scaffold_11                                                    71.6    6e-10 
  dspp_scaffold_0                                                     71.2    7e-10 
  NW_004173167.1 Hydra vulgaris strain 105 unplaced genomic scaff...  71.2    7e-10 
  NW_018149443.1 Orbicella faveolata isolate FL unplaced genomic ...  71.2    7e-10 
  adi_Scaffold232                                                     71.2    8e-10 
  NW_004166900.1 Hydra vulgaris strain 105 unplaced genomic scaff...  71.2    8e-10 
  SczhEnG_1432                                                        70.9    8e-10 
  dspp_scaffold_369                                                   70.9    9e-10 
  adi_Scaffold176                                                     70.9    9e-10 
  NW_004168348.1 Hydra vulgaris strain 105 unplaced genomic scaff...  70.9    9e-10 
  afen_scaffold_168                                                   70.9    1e-09 
  SczhEnG_1030                                                        70.9    1e-09 
  SczhEnG_830                                                         70.5    1e-09 
  LJWW01000165.1 Exaiptasia pallida isolate CC7 scaffold165, whol...  70.1    2e-09 
  NW_018149085.1 Orbicella faveolata isolate FL unplaced genomic ...  70.1    2e-09 
  adi_Scaffold508                                                     69.7    2e-09 
  adi_Scaffold435                                                     69.7    2e-09 
  NW_018149351.1 Orbicella faveolata isolate FL unplaced genomic ...  69.7    2e-09 
  adi_Scaffold346                                                     69.7    2e-09 
  scaffold_840                                                        69.3    3e-09 
  adi_Scaffold297                                                     69.3    3e-09 
  dspp_scaffold_80                                                    69.3    3e-09 
  SczhEnG_164                                                         69.3    3e-09 
  dspp_scaffold_35                                                    68.9    3e-09 
  scaffold_19                                                         68.9    3e-09 
  adi_Scaffold1127                                                    68.9    3e-09 
  NW_018149252.1 Orbicella faveolata isolate FL unplaced genomic ...  68.9    4e-09 
  scaffold_129                                                        68.9    4e-09 
  afen_scaffold_96                                                    68.9    4e-09 
  scaffold_352                                                        68.6    4e-09 
  SczhEnG_651                                                         68.2    6e-09 
  SczhEnG_1572                                                        68.2    6e-09 
  NW_018149090.1 Orbicella faveolata isolate FL unplaced genomic ...  68.2    6e-09 
  adi_Scaffold186                                                     68.2    6e-09 
  NW_004169798.1 Hydra vulgaris strain 105 unplaced genomic scaff...  68.2    7e-09 
  LJWW01000144.1 Exaiptasia pallida isolate CC7 scaffold144, whol...  47.4    7e-09 
  adi_Scaffold979                                                     67.8    8e-09 
  NW_018150109.1 Orbicella faveolata isolate FL unplaced genomic ...  67.8    8e-09 
  adi_Scaffold437                                                     67.8    8e-09 
  NW_004170687.1 Hydra vulgaris strain 105 unplaced genomic scaff...  67.8    8e-09 
  afen_scaffold_105                                                   67.8    8e-09 
  adi_Scaffold6                                                       67.8    9e-09 
  scaffold_258                                                        67.4    1e-08 
  SczhEnG_4055                                                        67.4    1e-08 
  dspp_scaffold_136                                                   67.4    1e-08 
  SczhEnG_1333                                                        67.4    1e-08 
  dspp_scaffold_2                                                     67.4    1e-08 
  scaffold_24                                                         67.0    1e-08 
  adi_Scaffold1139                                                    67.0    1e-08 
  dspp_scaffold_299                                                   67.0    1e-08 
  scaffold_133                                                        66.6    2e-08 
  scaffold_33                                                         66.6    2e-08 
  adi_Scaffold25                                                      66.6    2e-08 
  NW_018149640.1 Orbicella faveolata isolate FL unplaced genomic ...  66.6    2e-08 
  SczhEnG_2680                                                        66.6    2e-08 
  afen_scaffold_18                                                    66.6    2e-08 
  NW_018148687.1 Orbicella faveolata isolate FL unplaced genomic ...  66.6    2e-08 
  NW_018149778.1 Orbicella faveolata isolate FL unplaced genomic ...  66.2    2e-08 
  NW_004167656.1 Hydra vulgaris strain 105 unplaced genomic scaff...  66.2    2e-08 
  LJWW01000130.1 Exaiptasia pallida isolate CC7 scaffold130, whol...  66.2    2e-08 
  SczhEnG_4287                                                        66.2    3e-08 
  scaffold_260                                                        66.2    3e-08 
  SczhEnG_1485                                                        65.9    3e-08 
  NW_004169016.1 Hydra vulgaris strain 105 unplaced genomic scaff...  65.9    3e-08 
  scaffold_11                                                         51.6    3e-08 
  adi_Scaffold149                                                     65.9    3e-08 
  LJWW01000002.1 Exaiptasia pallida isolate CC7 scaffold2, whole ...  65.9    3e-08 
  NW_004167103.1 Hydra vulgaris strain 105 unplaced genomic scaff...  65.9    3e-08 
  scaffold_61                                                         65.5    4e-08 
  NW_018150122.1 Orbicella faveolata isolate FL unplaced genomic ...  65.5    4e-08 
  NW_004172127.1 Hydra vulgaris strain 105 unplaced genomic scaff...  65.5    4e-08 
  adi_Scaffold1049                                                    65.5    4e-08 
  adi_Scaffold2151                                                    65.5    4e-08 
  dspp_scaffold_71                                                    65.1    5e-08 
  LJWW01000033.1 Exaiptasia pallida isolate CC7 scaffold33, whole...  65.1    5e-08 
  scaffold_5                                                          65.1    5e-08 
  afen_scaffold_160                                                   65.1    5e-08 
  afen_scaffold_51                                                    65.1    5e-08 
  LJWW01000054.1 Exaiptasia pallida isolate CC7 scaffold54, whole...  64.7    6e-08 
  afen_scaffold_89                                                    64.7    6e-08 
  adi_Scaffold234                                                     64.7    7e-08 
  afen_scaffold_24                                                    64.3    8e-08 
  adi_Scaffold521                                                     64.3    9e-08 
  LJWW01000071.1 Exaiptasia pallida isolate CC7 scaffold71, whole...  64.3    9e-08 
  SczhEnG_310                                                         64.3    9e-08 
  LJWW01000252.1 Exaiptasia pallida isolate CC7 scaffold253, whol...  64.3    9e-08 
  SczhEnG_1809                                                        64.3    9e-08 
  LJWW01000098.1 Exaiptasia pallida isolate CC7 scaffold98, whole...  64.3    1e-07 
  SczhEnG_122                                                         64.3    1e-07 
  NW_004172628.1 Hydra vulgaris strain 105 unplaced genomic scaff...  63.9    1e-07 
  NW_018149953.1 Orbicella faveolata isolate FL unplaced genomic ...  63.9    1e-07 
  scaffold_317                                                        63.9    1e-07 
  NW_004169623.1 Hydra vulgaris strain 105 unplaced genomic scaff...  63.9    1e-07 
  dspp_scaffold_58                                                    63.9    1e-07 
  adi_Scaffold264                                                     63.9    1e-07 
  NW_004168630.1 Hydra vulgaris strain 105 unplaced genomic scaff...  63.5    1e-07 
  NW_004167419.1 Hydra vulgaris strain 105 unplaced genomic scaff...  63.5    1e-07 
  LJWW01001022.1 Exaiptasia pallida isolate CC7 scaffold1023, who...  63.5    1e-07 
  SczhEnG_3631                                                        63.5    1e-07 
  NW_004168121.1 Hydra vulgaris strain 105 unplaced genomic scaff...  63.5    2e-07 
  LJWW01000124.1 Exaiptasia pallida isolate CC7 scaffold124, whol...  63.5    2e-07 
  NW_004174297.1 Hydra vulgaris strain 105 unplaced genomic scaff...  63.5    2e-07 
  SczhEnG_1930                                                        63.5    2e-07 
  afen_scaffold_25                                                    63.5    2e-07 
  LJWW01000150.1 Exaiptasia pallida isolate CC7 scaffold150, whol...  63.5    2e-07 
  scaffold_117                                                        63.5    2e-07 
  afen_scaffold_57                                                    63.5    2e-07 
  NW_018149816.1 Orbicella faveolata isolate FL unplaced genomic ...  63.2    2e-07 
  NW_004169544.1 Hydra vulgaris strain 105 unplaced genomic scaff...  63.2    2e-07 
  NW_004167828.1 Hydra vulgaris strain 105 unplaced genomic scaff...  63.2    2e-07 
  NW_004169037.1 Hydra vulgaris strain 105 unplaced genomic scaff...  62.8    2e-07 
  dspp_scaffold_47                                                    62.8    2e-07 
  SczhEnG_4068                                                        62.8    2e-07 
  scaffold_47                                                         62.8    3e-07 
  NW_004177779.1 Hydra vulgaris strain 105 unplaced genomic scaff...  62.4    3e-07 
  NW_018149641.1 Orbicella faveolata isolate FL unplaced genomic ...  62.4    3e-07 
  NW_004168946.1 Hydra vulgaris strain 105 unplaced genomic scaff...  62.4    4e-07 
  LJWW01000200.1 Exaiptasia pallida isolate CC7 scaffold201, whol...  50.1    4e-07 
  scaffold_600                                                        62.0    4e-07 
  dspp_scaffold_342                                                   53.9    4e-07 
  NW_004172477.1 Hydra vulgaris strain 105 unplaced genomic scaff...  62.0    4e-07 
  SczhEnG_3440                                                        62.0    5e-07 
  SczhEnG_3973                                                        62.0    5e-07 
  scaffold_470                                                        61.6    5e-07 
  LJWW01000182.1 Exaiptasia pallida isolate CC7 scaffold183, whol...  61.6    5e-07 
  NW_018149649.1 Orbicella faveolata isolate FL unplaced genomic ...  61.6    5e-07 
  scaffold_177                                                        61.6    5e-07 
  scaffold_216                                                        61.6    5e-07 
  dspp_scaffold_109                                                   61.6    6e-07 
  LJWW01000031.1 Exaiptasia pallida isolate CC7 scaffold31, whole...  61.6    6e-07 
  NW_004173194.1 Hydra vulgaris strain 105 unplaced genomic scaff...  61.6    6e-07 
  afen_scaffold_54                                                    61.2    7e-07 
  scaffold_411                                                        61.2    7e-07 
  adi_Scaffold134                                                     61.2    8e-07 
